file	class	field	type	optional	decorators
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	synchronize	false,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	id	string	NAO	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'client_id',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'uuid',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	clientId	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'employee_external_ref',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'text',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	employeeExternalRef	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'first_name',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'text',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	firstName	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'last_name',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'text',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	lastName	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'text',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	cpf	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'text',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	email	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'department_id',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'uuid',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	departmentId	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'job_position_id',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'uuid',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	jobPositionId	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'job_function_id',	NAO	@Column({
