file	field	type	decorators
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'hr_employee_profiles',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'employee_external_ref',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	employeeExternalRef	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'first_name',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	firstName	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'last_name',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	lastName	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	cpf	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	email	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'department_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	departmentId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'job_position_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	jobPositionId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'job_function_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'admission_date',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	admissionDate	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'hr_geofences',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'work_location_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'radius_meters',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'is_active',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-geofence.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'hr_job_functions',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'allows_external_visit',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'allows_travel',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'allows_overtime',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'allows_on_call',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'allows_shift_duty',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-function.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	name	'hr_job_positions',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	name	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-job-position.entity.ts	name	'updated_at',	@UpdateDateColumn({
